evidence	article_title	abstract_text	evidence.type	relevant
28052061	Integrated genomic characterization of oesophageal carcinoma.	Oesophageal cancers are prominent worldwide; however, there are few targeted therapies and survival rates for these cancers remain dismal. Here we performed a comprehensive molecular analysis of 164 carcinomas of the oesophagus derived from Western and Eastern populations. Beyond known histopathological and epidemiologic distinctions, molecular features differentiated oesophageal squamous cell carcinomas from oesophageal adenocarcinomas. Oesophageal squamous cell carcinomas resembled squamous carcinomas of other organs more than they did oesophageal adenocarcinomas. Our analyses identified three molecular subclasses of oesophageal squamous cell carcinomas, but none showed evidence for an aetiological role of human papillomavirus. Squamous cell carcinomas showed frequent genomic amplifications of CCND1 and SOX2 and/or TP63, whereas ERBB2, VEGFA and GATA4 and GATA6 were more commonly amplified in adenocarcinomas. Oesophageal adenocarcinomas strongly resembled the chromosomally unstable variant of gastric adenocarcinoma, suggesting that these cancers could be considered a single disease entity. However, some molecular features, including DNA hypermethylation, occurred disproportionally in oesophageal adenocarcinomas. These data provide a framework to facilitate more rational categorization of these tumours and a foundation for new therapies.	diagnostic	1
28052061	Integrated genomic characterization of oesophageal carcinoma.	Oesophageal cancers are prominent worldwide; however, there are few targeted therapies and survival rates for these cancers remain dismal. Here we performed a comprehensive molecular analysis of 164 carcinomas of the oesophagus derived from Western and Eastern populations. Beyond known histopathological and epidemiologic distinctions, molecular features differentiated oesophageal squamous cell carcinomas from oesophageal adenocarcinomas. Oesophageal squamous cell carcinomas resembled squamous carcinomas of other organs more than they did oesophageal adenocarcinomas. Our analyses identified three molecular subclasses of oesophageal squamous cell carcinomas, but none showed evidence for an aetiological role of human papillomavirus. Squamous cell carcinomas showed frequent genomic amplifications of CCND1 and SOX2 and/or TP63, whereas ERBB2, VEGFA and GATA4 and GATA6 were more commonly amplified in adenocarcinomas. Oesophageal adenocarcinomas strongly resembled the chromosomally unstable variant of gastric adenocarcinoma, suggesting that these cancers could be considered a single disease entity. However, some molecular features, including DNA hypermethylation, occurred disproportionally in oesophageal adenocarcinomas. These data provide a framework to facilitate more rational categorization of these tumours and a foundation for new therapies.	diagnostic	1
28052061	Integrated genomic characterization of oesophageal carcinoma.	Oesophageal cancers are prominent worldwide; however, there are few targeted therapies and survival rates for these cancers remain dismal. Here we performed a comprehensive molecular analysis of 164 carcinomas of the oesophagus derived from Western and Eastern populations. Beyond known histopathological and epidemiologic distinctions, molecular features differentiated oesophageal squamous cell carcinomas from oesophageal adenocarcinomas. Oesophageal squamous cell carcinomas resembled squamous carcinomas of other organs more than they did oesophageal adenocarcinomas. Our analyses identified three molecular subclasses of oesophageal squamous cell carcinomas, but none showed evidence for an aetiological role of human papillomavirus. Squamous cell carcinomas showed frequent genomic amplifications of CCND1 and SOX2 and/or TP63, whereas ERBB2, VEGFA and GATA4 and GATA6 were more commonly amplified in adenocarcinomas. Oesophageal adenocarcinomas strongly resembled the chromosomally unstable variant of gastric adenocarcinoma, suggesting that these cancers could be considered a single disease entity. However, some molecular features, including DNA hypermethylation, occurred disproportionally in oesophageal adenocarcinomas. These data provide a framework to facilitate more rational categorization of these tumours and a foundation for new therapies.	diagnostic	1
28052056	Genome-wide in vivo screen identifies novel host regulators of metastatic colonization.	Metastasis is the leading cause of death for cancer patients. This multi-stage process requires tumour cells to survive in the circulation, extravasate at distant sites, then proliferate; it involves contributions from both the tumour cell and tumour microenvironment ('host', which includes stromal cells and the immune system). Studies suggest the early steps of the metastatic process are relatively efficient, with the post-extravasation regulation of tumour growth ('colonization') being critical in determining metastatic outcome. Here we show the results of screening 810 mutant mouse lines using an in vivo assay to identify microenvironmental regulators of metastatic colonization. We identify 23 genes that, when disrupted in mouse, modify the ability of tumour cells to establish metastatic foci, with 19 of these genes not previously demonstrated to play a role in host control of metastasis. The largest reduction in pulmonary metastasis was observed in sphingosine-1-phosphate (S1P) transporter spinster homologue 2 (Spns2)-deficient mice. We demonstrate a novel outcome of S1P-mediated regulation of lymphocyte trafficking, whereby deletion of Spns2, either globally or in a lymphatic endothelial-specific manner, creates a circulating lymphopenia and a higher percentage of effector T cells and natural killer (NK) cells present in the lung. This allows for potent tumour cell killing, and an overall decreased metastatic burden.	NA	2
28049849	CD4 T-cell cytokines synergize to induce proliferation of malignant and nonmalignant innate intraepithelial lymphocytes.	Refractory celiac disease type II (RCDII) is a severe complication of celiac disease (CD) characterized by the presence of an enlarged clonal population of innate intraepithelial lymphocytes (IELs) lacking classical B-, T-, and natural killer (NK)-cell lineage markers (Lin(-)IELs) in the duodenum. In ∼50% of patients with RCDII, these Lin(-)IELs develop into a lymphoma for which no effective treatment is available. Current evidence indicates that the survival and expansion of these malignant Lin(-)IELs is driven by epithelial cell-derived IL-15. Like CD, RCDII is strongly associated with HLA-DQ2, suggesting the involvement of HLA-DQ2-restricted gluten-specific CD4(+) T cells. We now show that gluten-specific CD4(+) T cells isolated from CD duodenal biopsy specimens produce cytokines able to trigger proliferation of malignant Lin(-)IEL lines as powerfully as IL-15. Furthermore, we identify TNF, IL-2, and IL-21 as CD4(+) T-cell cytokines that synergistically mediate this effect. Like IL-15, these cytokines were found to increase the phosphorylation of STAT5 and Akt and transcription of antiapoptotic mediator bcl-xL Several small-molecule inhibitors targeting the JAK/STAT pathway blocked proliferation elicited by IL-2 and IL-15, but only an inhibitor targeting the PI3K/Akt/mTOR pathway blocked proliferation induced by IL-15 as well as the CD4(+) T-cell cytokines. Confirming and extending these findings, TNF, IL-2, and IL-21 also synergistically triggered the proliferation of freshly isolated Lin(-)IELs and CD3(-)CD56(+) IELs (NK-IELs) from RCDII as well as non-RCDII duodenal biopsy specimens. These data provide evidence implicating CD4(+) T-cell cytokines in the pathogenesis of RCDII. More broadly, they suggest that adaptive immune responses can contribute to innate IEL activation during mucosal inflammation.	NA	0
28049847	Gpr132 sensing of lactate mediates tumor-macrophage interplay to promote breast cancer metastasis.	Macrophages are prominent immune cells in the tumor microenvironment that exert potent effects on cancer metastasis. However, the signals and receivers for the tumor-macrophage communication remain enigmatic. Here, we show that G protein-coupled receptor 132 (Gpr132) functions as a key macrophage sensor of the rising lactate in the acidic tumor milieu to mediate the reciprocal interaction between cancer cells and macrophages during breast cancer metastasis. Lactate activates macrophage Gpr132 to promote the alternatively activated macrophage (M2)-like phenotype, which, in turn, facilitates cancer cell adhesion, migration, and invasion. Consequently, Gpr132 deletion reduces M2 macrophages and impedes breast cancer lung metastasis in mice. Clinically, Gpr132 expression positively correlates with M2 macrophages, metastasis, and poor prognosis in patients with breast cancer. These findings uncover the lactate-Gpr132 axis as a driver of breast cancer metastasis by stimulating tumor-macrophage interplay, and reveal potential new therapeutic targets for breast cancer treatment.	prognostic	2
28049826	MYH9 binds to lncRNA gene PTCSC2 and regulates FOXE1 in the 9q22 thyroid cancer risk locus.	A locus on chromosome 9q22 harbors a SNP (rs965513) firmly associated with risk of papillary thyroid carcinoma (PTC). The locus also comprises the forkhead box E1 (FOXE1) gene, which is implicated in thyroid development, and a long noncoding RNA (lncRNA) gene, papillary thyroid cancer susceptibility candidate 2 (PTCSC2). How these might interact is not known. Here we report that PTCSC2 binds myosin-9 (MYH9). In a bidirectional promoter shared by FOXE1 and PTCSC2, MYH9 inhibits the promoter activity in both directions. This inhibition can be reversed by PTCSC2, which acts as a suppressor. RNA knockdown of FOXE1 in primary thyroid cells profoundly interferes with the p53 pathway. We propose that the interaction between the lncRNA, its binding protein MYH9, and the coding gene FOXE1 underlies the predisposition to PTC triggered by rs965513.	NA	0
28052327	Tissue disruption increases stochastic gene expression thus producing tumours: Cancer initiation without driver mutation.	Cancer research produced many paradoxical results in recent years. The reductionist approach now shows its limits. Considering the origin of the disease at the tissue level and increased stochastic gene expression (SGE) as a driving force, while admitting a role for genetic alterations in cancer progression, might solve these contradictions. Undifferentiated cells are characterized by open and accessible chromatin generating global and highly SGE (high expression noise) which is a hallmark of pluripotency, while differentiation is associated with progressive chromatin closing and decreased noise. Cell-cell interactions stabilize phenotypes and homogenize expression patterns from cell-to-cell during development and differentiation, while disruption of these interactions is responsible for increased expression noise that might be the causal event in cancer by producing phenotypic plasticity. It would produce cancer stem cells defined as cells exhibiting increased SGE that are no more controlled by the microenvironment. Following tissue disruption, differentiation and/or quiescence would no longer be maintained because of SGE. Genetic and epigenetic instabilities would necessary appear, increasing the risk of malignant transformation. The classical perspective is reversed: disruption of the tissue equilibrium is the initiator event, and genetic alterations are tumor &quot;promoters&quot;. The major role of genetic modifications in cancer progression is not denied, but microenvironmental and epigenetic alterations would precede the emergence of cancer. If mutagenic exposure, cancer predisposition, or spontaneous mutations have already produced genetic alterations, precancerous cells would become more aggressive more rapidly, increasing the probability that a tumor forms, but only if the correct microenvironment is not maintained. This article is protected by copyright. All rights reserved.	NA	0
28049525	Nutrition therapy with high intensity interval training to improve prostate cancer-related fatigue in men on androgen deprivation therapy: a study protocol.	BACKGROUND: Cancer-related fatigue is one of the most prevalent, prolonged and distressing side effects of prostate cancer treatment with androgen deprivation therapy. Preliminary evidence suggests natural therapies such as nutrition therapy and structured exercise prescription can reduce symptoms of cancer-related fatigue. Men appear to change their habitual dietary patterns after prostate cancer diagnosis, yet prostate-specific dietary guidelines provide limited support for managing adverse side effects of treatment. The exercise literature has shown high intensity interval training can improve various aspects of health that are typically impaired with androgen deprivation therapy; however exercise at this intensity is yet to be conducted in men with prostate cancer. The purpose of this study is to examine the effects of nutrition therapy beyond the current healthy eating guidelines with high intensity interval training for managing cancer-related fatigue in men with prostate cancer treated with androgen deprivation therapy.DESIGN: This is a two-arm randomized control trial of 116 men with prostate cancer and survivors treated with androgen deprivation therapy. Participants will be randomized to either the intervention group i.e. nutrition therapy and high intensity interval training, or usual care. The intervention group will receive 20 weeks of individualized nutrition therapy from an Accredited Practising Dietitian, and high intensity interval training (from weeks 12-20 of the intervention) from an Accredited Exercise Physiologist. The usual care group will maintain their standard treatment regimen over the 20 weeks. Both groups will undertake primary and secondary outcome testing at baseline, week 8, 12, and 20; testing includes questionnaires of fatigue and quality of life, objective measures of body composition, muscular strength, cardiorespiratory fitness, biomarkers for disease progression, as well as dietary analysis. The primary outcomes for this trial are measures of fatigue and quality of life.DISCUSSION: This study is the first of its kind to determine the efficacy of nutrition therapy above the healthy eating guidelines and high intensity interval training for alleviating prostate-cancer related fatigue. If successful, nutrition therapy and high intensity interval training may be proposed as an effective therapy for managing cancer-related fatigue and improving quality of life in men during and after prostate cancer treatment.TRIAL REGISTRATION: Australian New Zealand Clinical Trials Registry ACTRN12615000512527 . Trial registered on the 22/5/2015.	NA	0
28049525	Nutrition therapy with high intensity interval training to improve prostate cancer-related fatigue in men on androgen deprivation therapy: a study protocol.	BACKGROUND: Cancer-related fatigue is one of the most prevalent, prolonged and distressing side effects of prostate cancer treatment with androgen deprivation therapy. Preliminary evidence suggests natural therapies such as nutrition therapy and structured exercise prescription can reduce symptoms of cancer-related fatigue. Men appear to change their habitual dietary patterns after prostate cancer diagnosis, yet prostate-specific dietary guidelines provide limited support for managing adverse side effects of treatment. The exercise literature has shown high intensity interval training can improve various aspects of health that are typically impaired with androgen deprivation therapy; however exercise at this intensity is yet to be conducted in men with prostate cancer. The purpose of this study is to examine the effects of nutrition therapy beyond the current healthy eating guidelines with high intensity interval training for managing cancer-related fatigue in men with prostate cancer treated with androgen deprivation therapy.DESIGN: This is a two-arm randomized control trial of 116 men with prostate cancer and survivors treated with androgen deprivation therapy. Participants will be randomized to either the intervention group i.e. nutrition therapy and high intensity interval training, or usual care. The intervention group will receive 20 weeks of individualized nutrition therapy from an Accredited Practising Dietitian, and high intensity interval training (from weeks 12-20 of the intervention) from an Accredited Exercise Physiologist. The usual care group will maintain their standard treatment regimen over the 20 weeks. Both groups will undertake primary and secondary outcome testing at baseline, week 8, 12, and 20; testing includes questionnaires of fatigue and quality of life, objective measures of body composition, muscular strength, cardiorespiratory fitness, biomarkers for disease progression, as well as dietary analysis. The primary outcomes for this trial are measures of fatigue and quality of life.DISCUSSION: This study is the first of its kind to determine the efficacy of nutrition therapy above the healthy eating guidelines and high intensity interval training for alleviating prostate-cancer related fatigue. If successful, nutrition therapy and high intensity interval training may be proposed as an effective therapy for managing cancer-related fatigue and improving quality of life in men during and after prostate cancer treatment.TRIAL REGISTRATION: Australian New Zealand Clinical Trials Registry ACTRN12615000512527 . Trial registered on the 22/5/2015.	NA	0
28049506	Novel derivative of aminobenzenesulfonamide (3c) induces apoptosis in colorectal cancer cells through ROS generation and inhibits cell migration.	BACKGROUND: Colorectal cancer (CRC) is the 3(rd) most common type of cancer worldwide. New anti-cancer agents are needed for treating late stage colorectal cancer as most of the deaths occur due to cancer metastasis. A recently developed compound, 3c has shown to have potent antitumor effect; however the mechanism underlying the antitumor effect remains unknown.METHODS: 3c-induced inhibition of proliferation was measured in the absence and presence NAC using MTT in HT-29 and SW620 cells and xCELLigence RTCA DP instrument. 3c-induced apoptotic studies were performed using flow cytometry. 3c-induced redox alterations were measured by ROS production using fluorescence plate reader and flow cytometry and mitochondrial membrane potential by flow cytometry; NADPH and GSH levels were determined by colorimetric assays. Bcl2 family protein expression and cytochrome c release and PARP activation was done by western blotting. Caspase activation was measured by ELISA. Cell migration assay was done using the real time xCELLigence RTCA DP system in SW620 cells and wound healing assay in HT-29.RESULTS: Many anticancer therapeutics exert their effects by inducing reactive oxygen species (ROS). In this study, we demonstrate that 3c-induced inhibition of cell proliferation is reversed by the antioxidant, N-acetylcysteine, suggesting that 3c acts via increased production of ROS in HT-29 cells. This was confirmed by the direct measurement of ROS in 3c-treated colorectal cancer cells. Additionally, treatment with 3c resulted in decreased NADPH and glutathione levels in HT-29 cells. Further, investigation of the apoptotic pathway showed increased release of cytochrome c resulting in the activation of caspase-9, which in turn activated caspase-3 and -6. 3c also (i) increased p53 and Bax expression, (ii) decreased Bcl2 and BclxL expression and (iii) induced PARP cleavage in human colorectal cancer cells. Confirming our observations, NAC significantly inhibited induction of apoptosis, ROS production, cytochrome c release and PARP cleavage. The results further demonstrate that 3c inhibits cell migration by modulating EMT markers and inhibiting TGFβ-induced phosphorylation of Smad2 and Samd3.CONCLUSIONS: Our findings thus demonstrate that 3c disrupts redox balance in colorectal cancer cells and support the notion that this agent may be effective for the treatment of colorectal cancer.	NA	0
28049456	Perioperative changes in osteopontin and TGFβ1 plasma levels and their prognostic impact for radiotherapy in head and neck cancer.	BACKGROUND: In head and neck cancer little is known about the kinetics of osteopontin (OPN) expression after tumor resection. In this study we evaluated the time course of OPN plasma levels before and after surgery.METHODS: Between 2011 and 2013 41 consecutive head and neck cancer patients were enrolled in a prospective study (group A). At different time points plasma samples were collected: T0) before, T1) 1 day, T2) 1 week and T3) 4 weeks after surgery. Osteopontin and TGFβ1 plasma concentrations were measured with a commercial ELISA system. Data were compared to 131 head and neck cancer patients treated with primary (n = 42) or postoperative radiotherapy (n = 89; group B1 and B2).RESULTS: A significant OPN increase was seen as early as 1 day after surgery (T0 to T1, p &lt; 0.01). OPN levels decreased to base line 3-4 weeks after surgery. OPN values were correlated with postoperative TGFβ1 expression suggesting a relation to wound healing. Survival analysis showed a significant benefit for patients with lower OPN levels both in the primary and postoperative radiotherapy group (B1: 33 vs 11.5 months, p = 0.017, B2: median not reached vs 33.4, p = 0.031). TGFβ1 was also of prognostic significance in group B1 (33.0 vs 10.7 months, p = 0.003).CONCLUSIONS: Patients with head and neck cancer showed an increase in osteopontin plasma levels directly after surgery. Four weeks later OPN concentration decreased to pre-surgery levels. This long lasting increase was presumably associated to wound healing. Both pretherapeutic osteopontin and TGFβ1 had prognostic impact.	NA	0
